issns	existing_issn	Q		
2092-8920,1738-1843	1738-1843	26867026
2234-344X,1738-2203	2234-344X	27724762
1976-3026,1738-3684	1738-3684	26853796
2005-7172,1738-5261	1738-5261	27721033
1738-5555,1738-5520	1738-5520	26842331
2234-358X,1738-5733	1738-5733	50534453
2092-9935,1738-5997	1738-5997	26842082
2233-7660,1738-6055	1738-6055	26842840
2288-9213,1738-6349	1738-6349	26842655
2092-8467,1738-642X	1738-642X	15724550
2005-5013,1738-6586	1738-6586	26841853
2092-9900,1738-6756	1738-6756	26842109
2092-9129,1738-7949	1738-7949	26842162
1741-0533,1740-925X	1740-925X	15755054
1744-828X,1741-0541	1741-0541	19946312
2405-5093,1741-0819	1741-0819	15755141
1741-248X,1741-2471	1741-2471	5209441
1749-6268,1741-6124	1749-6268	43379078
1741-7546,1741-7538	1741-7538	15755814
1743-1344,1742-271X	1742-271X	26841993
1742-4259,1742-4240	1742-4259	15762503
1744-9545,1742-8262	1742-8262	15758306
1743-5013,1743-5005	1743-5005	15755396
2040-090X,1743-5234	1743-5234	15757831
1743-9892,1743-9884	1743-9892	15752929
1744-070X,1744-0696	1744-0696	15756538
1757-8396,1744-1056	1744-1056	15765590
1744-6511,1744-6503	1744-6503	15757448
1744-8417,1744-6651	1744-6651	26853886
1745-4506,1748-0140	1748-0140	15767300
1745-5049,1745-5030	1745-5030	1870451
1745-6428,1745-641X	1745-641X	15757507
1746-045X,1746-0441	1746-0441	5421204
1746-0883,1746-0875	1746-0875	15758527
2451-3121,1746-1081	2451-3121	50817641
1746-6342,1746-6334	1746-6334	15751105
2047-6094,1747-0161	1747-0161	15762703
2052-2800,1747-0307	1747-0307	15753495
1747-0803,1747-079X	1747-079X	15761142
1774-7786,1747-7778	1747-7778	2107568
1878-0059,1747-7891	1747-7891	15759008
2048-397X,1747-9541	1747-9541	15749866
2042-8642,1747-9886	1747-9886	29043858
1748-2984,1748-2976	1748-2976	15761874
2048-2906,1748-3727	1748-3727	15758214
1749-4877,1749-4868	1749-4877	15766189
2052-2207,1749-6403	1749-6403	4970187
2047-993X,1750-2705	1750-2705	15762044
1750-3183,1750-3175	1750-3175	15760290
1750-3299,1750-3280	1750-3280	15760531
1757-0417,1750-399X	1750-399X	15760039
2048-4887,1750-4902	1750-4902	15759763
1750-6689,1753-3562	1753-3562	28444730
1750-7448,1750-743X	1750-743X	18713038
1759-7390,1750-8460	1750-8460	15750262
1756-6932,1750-8975	1750-8975	15749380
1750-9858,1750-984X	1750-984X	15762214
1751-0260,1751-0252	1751-0252	15764619
1751-0708,1751-0694	1751-0694	15763079
1751-3766,1751-3758	1751-3758	15817698
1751-9578,1751-956X	1751-956X	15745178
1751-9683,1751-9675	1751-9675	15755899
1752-0371,1752-0363	1752-0363	20313333
1752-1408,1752-1394	1752-1394	15766130
2052-2827,1752-2803	1752-2803	15755370
1752-699X,1752-6981	1752-699X	15751982
1752-7163,1752-7155	1752-7155	24039127
1752-9867,1752-9859	1752-9867	10896805
1753-0407,1753-0393	1753-0393	27020371
1753-4666,1753-4658	1753-4658	26842252
1753-4968,1753-495X	1753-495X	26842307
1753-5077,1753-5069	1753-5069	15767192
1753-643X,1753-6421	1753-6421	15759436
1753-8076,1753-8068	1753-8068	24039140
1753-8955,1753-8947	1753-8947	15756449
1753-9455,1753-9447	1753-9447	26842002
1754-1336,1754-1328	1754-1336	15816948
1754-3274,1754-3266	1754-3266	15749383
2049-8535,1754-730X	1754-730X	15749612
1755-5922,1755-5914	1755-5914	1871490
1755-7747,1755-7739	1755-7739	23305066
1756-0357,9999-9999	1756-0357	6980927
1756-2848,1756-283X	1756-283X	21042423
1756-2864,1756-2856	1756-2856	26842039
1756-2880,1756-2872	1756-2872	26842184
2054-8508,1756-4611	1756-4611	15755873
1756-8307,1756-8293	1756-8293	15817158
1756-8358,1756-834X	1756-834X	26842661
1756-8927,1756-8919	1756-8919	19280078
1757-188X,1757-1871	1757-1871	15816390
1757-1901,1757-1898	1757-1898	11913229
1757-6199,1757-6180	1757-6180	18616741
1757-7012,1757-7004	1757-7004	26853993
1757-9708,1757-9694	1757-9694	1524032
1757-9767,1757-9759	1757-9759	5570368
1758-1214,1758-1206	1758-1206	15752990
1758-1567,1758-1559	1758-1559	15750916
1758-1877,1758-1869	1758-1869	26842817
1758-2032,1758-2024	1758-2024	27020361
1758-4280,1758-4272	1758-4272	26842129
1758-5740,1758-5732	1758-5732	26853840
1758-6798,1758-678X	1758-678X	1970247
1758-826X,1758-8251	1758-8251	15817064
1758-8359,1758-8340	1758-8340	26842113
1758-8979,1758-8960	1758-8960	26842601
2041-9457,1759-1376	1759-1376	15757000
1759-2887,1759-2879	1759-2879	26842395
1759-7218,1759-720X	1759-720X	26841913
2052-4293,1759-7374	1759-7374	15759531
1759-7692,1759-7684	1759-7684	26842107
1759-7714,1759-7706	1759-7706	26842004
1759-8486,1759-8478	1759-8478	6295638
1760-6233,1768-6520	1768-6520	3365487
2271-6815,1762-3162	1762-3162	3276833
2272-8023,1762-3227	1762-3227	15745224
2104-3671,1764-2507	1764-2507	1810221
2105-2182,1765-8888	2105-2182	47010188
2273-2225,1767-3151	1767-3151	47009296
2271-1929,1767-3755	1767-3755	3320496
2116-7176,1768-6733	1768-6733	2236003
2428-3606,1768-9260	1768-9260	15764199
1969-654X,1771-1347	1771-1347	15760613
2264-5306,1771-8848	1771-8848	3394328
1969-6213,1774-024X	1774-024X	26842537
1775-3856,1774-4466	1774-4466	15763188
1961-8670,1774-5314	1774-5314	47009244
1776-260X,1776-2596	1776-2596	25378200
1961-859X,1779-0980	1779-0980	3592588
2108-7083,1779-4684	1779-4684	23759748
1779-6288,1779-627X	1779-6288	50770365
2034-2101,1780-3187	1780-3187	3076430
2030-9902,1782-7183	1782-7183	15758241
2399-2956,1783-5917	1783-5917	15764693
2034-2098,1783-9025	1783-9025	15764518
2060-2774,1789-9486	1789-9486	15764296
1791-2377,1791-9320	1791-2377	50770395
1791-3004,1791-2997	1791-2997	26842180
1792-1015,1792-0981	1792-0981	23979083
1792-1082,1792-1074	1792-1074	20640514
2507-0371,1792-2593	1792-2593	4733650
1793-2157,2194-606X	1793-2157	15752248
1793-7124,1793-6179	1793-7124	15709945
2463-0950,1794-1237	1794-1237	50534604
2462-9448,1794-2470	1794-2470	50534598
2422-409X,1794-3841	1794-3841	50534594
2256-3938,1794-4449	1794-4449	27722241
2539-1208,1794-5887	1794-5887	50534592
2339-3459,1794-6190	1794-6190	15765250
2256-3067,1794-9998	1794-9998	50534582
2550-3219,1800-1122	1800-1122	15816586
1802-2170,1802-2006	1802-2170	50814582
1805-4927,1802-5439	1802-5439	27722368
1802-5951,1802-5943	1802-5943	15752778
1805-0476,1803-1269	1803-1269	15764615
1805-4196,1803-2427	1805-4196	50769368
2336-1220,1804-848X	1804-848X	27723764
1984-8196,1807-054X	1984-8196	50808164
2448-1939,1807-1112	2448-1939	50817625
1807-1775,1809-2640	1807-1775	15760499
2179-7412,1807-3883	1807-3883	15752633
1982-3363,1807-4545	1807-4545	15757433
2176-8552,1807-5002	2176-8552	50815744
2526-6551,1807-8338	1807-8338	27724438
2317-6172,1808-2432	1808-2432	50552532
1983-3628,1808-5261	1983-3628	21385988
1809-4864,1809-9777	1809-9777	26841875
2358-2847,1809-5348	1809-5348	15731785
2073-4735,1810-6838	1810-6838	26842336
2312-2722,1810-8601	1810-8601	15757563
2411-9202,1811-0932	1811-0932	27722601
1812-5700,1811-7775	1811-7775	15765197
1812-2973,1812-1098	1812-1098	5161697
2312-7589,1813-162X	1813-162X	50552658
2070-8998,1813-8535	2070-8998	50639139
2500-1590,1814-3520	1814-3520	27727343
1991-7120,1815-2406	1815-2406	1809704
2413-3299,1815-8242	1815-8242	29169536
2500-0845,1816-5095	1816-5095	50552633
1817-7565,1817-7530	1817-7530	15755127
2412-8775,1818-8338	1818-8338	50552608
2413-4023,1818-8346	1818-8346	50552606
1819-6357,1993-2820	1993-2820	26854001
2406-1018,1820-0214	1820-0214	2202393
2406-1026,1820-3949	1820-3949	27723760
2335-075X,1820-8665	2335-075X	50816964
2335-8955,1822-7732	1822-7732	15753051
2198-2791,1823-0334	2198-2791	50816166
2180-4192,1823-4992	1823-4992	15755206
2180-4222,1823-6499	1823-6499	15760191
2036-2579,1826-1868	1826-1868	27020356
1970-7096,1827-1987	1827-1987	26853928
1827-6679,1827-6660	1827-6660	15746171
2240-5291,1827-8590	1827-8590	15753721
1970-9366,1828-0447	1828-0447	26842320
2201-0645,1832-2751	1832-2751	15759122
1832-9543,1837-5685	1832-9543	15757679
2473-5809,1833-1866	1833-1866	15757991
2473-5736,1833-1874	1833-1874	15759180
1839-3527,1833-3672	1833-3672	15754125
2204-3136,1833-3818	1833-3818	15762910
1834-0814,1834-0806	1834-0806	15763548
1835-2022,1835-2014	1835-2014	15753716
1835-2707,1835-2693	1835-2693	2616056
1835-5269,2213-7149	1835-5269	15763880
1837-9133,1835-6354	1835-6354	15751130
2333-6498,1836-6503	1836-6503	15751598
1837-445X,2200-6931	1837-445X	15816353
2233-1964,1840-0655	1840-0655	15766066
2233-1999,1840-118X	2233-1999	50816350
1841-3307,1841-3293	1841-3307	50814794
2344-3219,1841-7051	2344-3219	50817046
1842-1121,1841-8724	1841-8724	26853901
2247-8310,1842-2845	1842-2845	15762126
1843-536X,1843-5262	1843-5262	27722055
1844-3117,1844-122X	1844-122X	26854007
2066-8643,1844-4172	1844-4172	26854004
1846-6079,1845-6421	1845-6421	15766571
1845-9757,1846-887X	1846-887X	15766942
1847-9375,1847-8344	1847-9375	50814785
1849-1251,1849-8582	1849-8582	50553199
1852-1606,1853-6344	1852-1606	50814767
1855-6531,1854-6250	1854-6250	4686389
2232-6022,1855-3362	1855-3362	50553162
1857-5773,1857-5749	1857-5749	6723134
1860-1499,1860-1480	1860-1480	26842452
1860-8973,1860-8965	1860-8965	15724497
1861-2121,1868-1646	1861-2121	15817123
1865-9012,1861-4264	1861-4264	186705
2235-218X,1861-6186	1861-6186	28499842
1862-5991,1865-6544	1865-6544	15817692
2164-604X,1862-6033	1862-6033	15760813
1862-9024,1862-9016	1862-9016	15752514
1863-3625,1863-3617	1863-3617	15755387
1863-6713,1863-6705	1863-6705	26842769
2510-4225,1863-7167	1863-7167	25382681
1863-8163,1863-8155	1863-8155	4654501
2151-2388,1864-1105	1864-1105	6295517
1864-5917,1864-5909	1864-5909	15754559
1864-6743,1864-6697	1864-6697	26867050
2190-8230,1864-9904	1864-9904	15750395
1865-1097,1865-1089	1865-1089	1378101
1865-1380,1865-1372	1865-1372	26853960
1865-2654,1865-2646	1865-2646	186756
1865-5033,1865-5025	1865-5025	13458683
2196-1395,1865-7192	1865-7192	23887100
1866-2196,1866-2188	1866-2188	18029977
1866-2633,1866-2625	1866-2625	26841866
2190-5150,1866-5888	1866-5888	15709989
1866-7538,1866-7511	1866-7511	15814357
1866-8658,2198-3402	1866-8658	1017589
1867-0202,2363-7005	1867-0202	127782
1867-0342,1867-0334	1867-0334	26853961
1867-0660,1867-0652	1867-0652	15817885
1867-2523,1867-237X	1867-237X	186667
1867-2469,1867-2450	1867-2450	26842484
1869-4802,1867-6294	1867-6294	21385862
1868-601X,1868-4483	1868-4483	26842494
1868-503X,1868-5021	1868-5021	26853930
1868-5145,1868-5137	1868-5137	15817371
1868-6982,1868-6974	1868-6974	25378879
2196-4467,1868-7245	1868-7245	14922439
1868-825X,1868-8241	1868-8241	1017538
1869-1447,1869-1439	1869-1439	26853900
1869-3482,1869-3474	1869-3474	26842025
2194-4199,1869-3679	1869-3679	1324372
1869-4098,1869-408X	1869-408X	26841909
1869-8182,1869-814X	1869-814X	15753282
2007-8706,1870-3453	1870-3453	14624632
2448-7872,1870-4654	1870-4654	5700614
1871-2576,1871-2584	1871-2584	15745264
1871-7691,2041-3599	1871-7691	15754198
1871-7942,1871-7934	1871-7934	26842704
1876-8741,1873-1791	1873-1791	15763332
1873-961X,1873-9601	1873-9601	26841964
1874-270X,1874-2718	1874-2718	2797659
1875-8894,1874-5393	1874-5393	26867032
1874-9836,1874-9828	1874-9828	21385880
1875-1350,1875-1342	1875-1342	26842884
1875-2152,1875-2160	1875-2152	15750538
1875-2284,1875-2292	1875-2292	26841970
1875-2543,1875-2535	1875-2535	21385884
1876-1372,1876-1364	1876-1364	15817370
1876-3375,1876-3367	1876-3375	15817364
1876-7931,1971-3495	1971-3495	26853792
2212-7283,1876-9055	1876-9055	15760925
1877-718X,1877-7171	1877-7171	26842319
1878-4763,1878-4755	1878-4755	2629709
1878-5085,1878-5077	1878-5077	26842213
1878-5204,1878-5190	1878-5190	3964513
1879-6400,1879-6397	1879-6397	24255728
1883-2148,1880-4276	1880-4276	26841910
1880-6805,1880-6791	1880-6791	15755695
1881-6428,1881-641X	1881-641X	26842879
1881-7823,1881-7815	1881-7815	26842019
1883-3969,1883-0838	1883-0838	27722637
1989-1342,1888-4296	1888-4296	15758042
1989-4007,1889-1861	1889-1861	50403224
1890-4009,1890-3991	1890-3991	17770134
1891-5760,1891-5752	1891-5752	17769389
2387-6743,1894-8421	2387-6743	50817365
2083-4608,1895-8281	2083-4608	50815352
1898-4002,1896-1126	1896-1126	15756321
1896-1517,2081-9900	1896-1517	9185945
2392-1552,1896-4362	1896-4362	2160847
2300-889X,1896-5334	1896-5334	9358405
2083-4624,1897-1059	1897-1059	9347344
1898-018X,1897-5593	1897-5593	9184531
2392-1625,1898-2255	1898-2255	20035232
2353-8813,1898-5203	1898-5203	9156278
2081-9617,1898-8857	2081-9617	50815362
2082-8799,1899-1998	2082-8799	50815359
2539-0279,1900-3803	1900-3803	50431985
2422-4324,1900-771X	1900-771X	50667972
1904-0016,1901-2276	1901-2276	15762487
2407-2230,1907-3062	1907-3062	50668078
2503-3395,1907-5626	1907-5626	50668659
2302-1810,1907-5642	2302-1810	50816620
2502-6534,1907-6754	1907-6754	50668708
2502-9460,1907-6762	1907-6762	50668712
2502-3705,1907-7491	1907-7491	50808065
2550-0023,1907-817X	1907-817X	50808111
2502-5996,1907-9753	2502-5996	50812604
2503-0310,1907-9761	1907-9761	50808108
2619-645X,1909-8642	1909-8642	50808103
1920-1214,1911-6470	1911-6470	26842808
1913-1852,1913-1844	1913-1844	15759857
2291-6954,1913-1925	1913-1925	5030697
1916-9701,1916-9698	1916-9698	27723649
1916-9744,1916-9736	1916-9736	23979247
1918-3011,1918-3003	1918-3003	26842453
1918-722X,1918-7211	1918-7211	15817543
1925-4059,1925-4040	1925-4040	24039976
1927-0917,1927-0909	1927-0909	23933861
1927-730X,1927-7296	1927-7296	18143590
1930-4315,1930-4307	1930-4307	26842759
2375-1606,1930-6253	1930-6253	15750457
1938-0704,1931-6925	1931-6925	5133771
1932-0183,2194-6094	1932-0183	15760573
1932-0191,2194-637X	1932-0191	15755979
1932-0205,2194-6078	1932-0205	15756969
1932-0213,2194-6140	1932-0213	15766981
2168-3751,1932-5037	1932-5037	15758088
1932-7005,1932-6254	1932-6254	15746559
1937-9234,1932-8184	1932-8184	1898759
1932-8664,1932-8575	1932-8575	6295294
1932-9148,2194-6515	1932-9148	6296006
1933-0715,1933-0707	1933-0707	26841998
1933-690X,1933-6896	1933-6896	26842757
2154-4700,1933-8244	1933-8244	15756858
1934-2640,2194-5675	1934-2640	5570854
1934-2659,2194-6159	1934-2659	15746659
1934-3698,1934-9688	1934-9688	7249458
1934-6638,1934-662X	1934-662X	13452937
2325-0399,1935-0090	1935-0090	15751195
1935-1682,2194-6108	1935-1682	15766849
1935-1690,2194-6116	1935-1690	15759733
1935-1704,2194-6124	1935-1704	15767185
1935-5149,1935-5130	1935-5130	3016763
1938-744X,1935-7893	1935-7893	23933849
2163-8969,1935-942X	1935-942X	20858021
1935-9748,1935-973X	1935-973X	26841992
1935-9764,1935-9756	1935-9756	15766731
1936-0541,1936-0533	1936-0533	26842730
1936-377X,1936-3761	1936-3761	26853911
1940-3496,1936-5209	1936-5209	2207654
1936-704X,1936-7031	1936-7031	6295043
1936-9018,1936-900X	1936-900X	26842568
1937-0709,1937-0695	1937-0695	15762373
1941-1189,1937-3333	1937-3333	15755988
2167-5112,1937-5867	1937-5867	15816327
1938-0208,1938-0194	1938-0194	15816232
1938-0240,1938-0232	1938-0232	15816773
1938-1964,1938-1956	1938-1956	26842138
1938-1980,1938-1972	1938-1972	26842418
1938-2022,1938-2014	1938-2014	26853851
1938-2049,1938-2030	1938-2030	26842790
1938-5005,1938-4998	1938-4998	6296057
2163-2367,1938-6974	1938-6974	15817494
1938-7997,1938-7989	1938-7989	18392954
1939-0041,1939-5116	1939-5116	24056192
1939-005X,1939-5094	1939-5094	26842017
2199-3386,1939-0238	1939-0238	15817735
1939-1242,1939-1234	1939-1234	26841987
1939-2702,1939-2699	1939-2699	15749578
1939-747X,1939-7291	1939-7291	27724820
1939-8115,1939-8018	1939-8018	2321247
1939-8433,1939-8425	1939-8425	14275569
1939-845X,1939-8441	1939-845X	15816388
1940-0004,2194-6566	1940-0004	28807213
1940-1507,1940-1493	1940-1493	15759029
1940-1639,2194-587X	1940-1639	27725062
1940-5286,8756-7547	8756-7547	15750791
1940-5529,1940-5510	1940-5510	19599676
1941-756X,1940-5847	1940-5847	15750976
1940-7890,1940-7882	1940-7882	15754353
1940-7971,1940-7963	1940-7963	15817420
1940-8455,1940-8447	1940-8447	15757026
1941-0611,1941-1405	1941-1405	18712759
1941-1421,1941-1413	1941-1413	26841961
1941-1928,2194-6507	1941-1928	15816536
1941-2851,2194-6337	1941-2851	27723722
1941-3084,1941-3149	1941-3149	2451440
1941-3297,1941-3289	1941-3289	2865806
1941-4919,1941-4900	1941-4900	2852903
1941-6008,2194-6280	1941-6008	15759734
1941-7632,1941-7640	1941-7640	26842159
1941-8752,1941-8744	1941-8744	26853983
1941-9074,1941-9066	1941-9066	26853805
1942-3896,1942-3888	1942-3888	15817224
1948-7177,1942-5074	1942-5074	15764904
1942-7905,1942-7891	1942-7891	26842287
1942-9541,1942-9533	1942-9541	15760436
1943-3867,2194-6523	1943-3867	15816863
1943-3883,1943-3875	1943-3875	26842796
1943-4596,1943-4588	1943-4588	26842500
1944-4370,2194-6132	1944-4370	27724070
1944-7588,1944-7515	1944-7515	15759057
2329-1249,1944-8740	1944-8740	26849594
1945-0109,8755-1233	8755-1233	7865479
1945-9343,1945-9440	1945-9440	25654004
1945-9416,1945-9475	1945-9475	28840800
1946-3901,1946-3855	1946-3855	15756682
2169-2793,1946-7567	1946-7567	15749611
1947-2943,1947-2935	1947-2935	2114582
1947-5446,1947-5438	1947-5438	4769670
1947-5462,1947-5454	1947-5454	5126422
1947-6043,1947-6035	1947-6035	5047348
1948-4690,2194-6310	1948-4690	27723447
1948-7908,1948-7894	1948-7894	26841900
1949-0984,1949-0976	1949-0976	26841922
1949-100X,1949-0992	1949-0992	26841885
1949-1042,1949-1034	1949-1034	26842588
1949-825X,1949-8241	1949-8241	27723505
1949-8357,1949-8349	1949-8349	26842752
1950-5698,1954-4863	1950-5698	50814879
1958-5535,1958-7856	1958-7856	47009842
2271-2194,1959-6782	1959-6782	3510460
2118-464X,1959-6928	1959-6928	47009741
1968-3774,1959-6936	1959-6936	47009746
2259-5309,1962-1086	2259-5309	47009302
2426-5489,1964-5007	1964-5007	47009259
2109-9553,1967-2055	1967-2055	47009816
2118-0067,1967-2713	1967-2713	47009353
2264-5748,1967-7359	1967-7359	47010046
1968-3863,2115-4430	2115-4430	26849198
1968-3944,2115-8177	2115-8177	47009623
2264-2595,1969-2269	1969-2269	3345217
1970-5565,1970-5557	1970-5565	26841967
2385-1996,1971-4009	1971-4009	15763691
2005-9655,1975-4612	1975-4612	26842465
2233-4521,1975-8375	1975-8375	24039993
2005-6168,1976-1457	1976-1457	26853867
1976-7846,1976-1902	1976-1902	26842187
2005-1212,1976-2283	1976-2283	26841957
1976-7951,1976-7633	1976-7633	15759516
2287-8181,1976-8087	1976-8087	24525462
2234-2753,1976-8257	1976-8257	26853853
2005-0720,1976-8710	1976-8710	2684208
2005-4483,1976-9148	1976-9148	20020559
2528-6374,1978-0524	1978-0524	50668217
2460-6081,1978-0591	1978-0591	15817040
2355-6641,1978-1989	1978-1989	15817733
2502-5600,1978-225X	1978-225X	50668228
2502-6720,1978-3736	1978-3736	50808090
2502-6348,1978-5658	2502-6348	50817832
2088-7051,1979-0732	2088-7051	50810532
2549-0168,1979-2522	1979-2522	50808180
2502-6550,1979-6366	1979-6366	50808172
1980-5454,0100-5405	0100-5405	27717260
2175-6058,1980-7864	2175-6058	50815760
1982-095X,1981-6537	1982-095X	50814944
1982-1084,1982-8470	1982-8470	50814923
1982-3134,0034-7612	0034-7612	50426246
1984-0462,0103-0582	0103-0582	26841828
1990-3421,1990-3413	1990-3413	3080557
2225-157X,1993-0461	1993-0461	6276651
1994-2451,1994-2400	1994-2400	3387811
2070-0083,1994-9057	1994-9057	4689899
2412-6160,1995-1191	1995-1191	50808128
1995-5855,2306-3734	1995-5855	15766726
1996-8744,1996-3599	1996-3599	23929972
2587-6341,1997-0854	1997-0854	50808219
2196-8934,1998-1929	1998-1929	26842035
2409-9082,1998-426X	1998-426X	50808214
2005-0399,2005-0380	2005-0380	26842232
2005-4408,2005-291X	2005-291X	26842088
2005-5447,2005-3606	2005-3606	26842430
2093-758X,2005-3673	2005-3673	26853979
2005-3886,2233-5234	2233-5234	15816286
2092-6715,2005-6443	2005-6443	26842197
2005-7814,2005-7806	2005-7806	26842721
2093-4939,2005-940X	2005-940X	26842217
2233-7784,2005-9752	2005-9752	27724453
2505-0419,2006-0165	2006-0165	4689822
2448-6698,2007-1124	2007-1124	27726911
1899-8852,1509-4553	1509-4553	9356488
2462-8794,1794-8231	1794-8231	50534588
2477-6033,1693-3702	2477-6033	50817821
1998-2054,1578-5319	1578-5319	27722978
2309-8414,1991-8178	1991-8178	15762086
2560-8371,1494-4936	1494-4936	15817775
2391-940X,1643-2762	1643-2762	15762749
2306-5885,1680-2292	1680-2292	15753347
2571-7227,0010-5678	0010-5678	27710514
2571-7197,0011-9075	0011-9075	27710650
2571-6603,0017-5986	0017-5986	27711030
2571-6484,0017-6001	0017-6001	27711029
2571-6506,0029-6678	0029-6678	27712356
2571-7081,0032-6305	0032-6305	27712698
2571-7138,0033-264X	0033-264X	27712834
2571-7308,0254-7600	0254-7600	27712187
2571-838X,0255-7975	0255-7975	27712689
2571-7189,0257-2788	0257-2788	15765765
2571-6646,0258-2589	0258-2589	27711982
2571-7170,0301-164X	0301-164X	27710972
2571-6611,0301-3243	0301-3243	27714672
2571-7219,0302-2773	0302-2773	27709083
2571-791X,0303-6847	0303-6847	27709410
2571-757X,0365-5822	0365-5822	27720312
2571-774X,0366-5313	0366-5313	27720015
2571-7235,0366-7170	0366-7170	27720161
2571-6573,0367-5513	0367-5513	27711028
2571-7278,0368-9220	0368-9220	27712046
2571-7103,0369-1519	0369-1519	1376833
2571-807X,0369-7606	0369-7606	27709549
2571-7111,0370-1956	0370-1956	27712839
1534-6285,1527-2737	1527-2737	26853936
2218-1903,1607-7970	1607-7970	15767069
2594-0317,1870-249X	1870-249X	27725241
2245-5809,1603-3663	1603-3663	15751054
2302-8890,1978-2853	2302-8890	50811254
1979-0902,2503-0426	1979-0902	50806629
1544-3175,1544-3167	1544-3167	15755732
2312-2803,1995-7076	1995-7076	15816788
2303-0186,2301-8968	2303-0186	50816618
2339-3874,1657-320X	1657-320X	15763777
2520-3339,1726-4073	1726-4073	15758027
2008-2118,2008-210X	2008-210X	26842392
2008-2150,2008-2142	2008-2142	26842621
2008-2401,2008-2398	2008-2398	26842272
2008-4161,2008-3645	2008-3645	26841997
2008-6830,2008-5117	2008-5117	26842834
2008-5249,2008-5230	2008-5230	26842209
2228-6721,2008-9783	2008-9783	26842062
2009-7298,2009-826X	2009-826X	50806844
2422-278X,2011-5253	2011-5253	50808261
2462-8441,2011-804X	2011-804X	50808259
2322-777X,2027-5137	2027-5137	50808237
2295-9149,2034-9130	2034-9130	47008642
2036-7996,2035-6005	2036-7996	26842214
2035-8164,2035-8237	2035-8237	26841904
2035-8377,2035-8385	2035-8385	26842762
2036-7902,2036-3176	2036-3176	26842386
2036-3613,2036-3605	2036-3605	26842148
2036-7406,2036-7392	2036-7392	26841894
2036-7449,2036-7430	2036-7430	26842878
2036-7465,2036-7457	2036-7457	26853857
2036-7503,2036-749X	2036-749X	26853969
2037-7460,2037-7452	2037-7452	26842373
2038-3274,2038-0305	2038-0305	26853848
2279-7084,2038-324X	2038-324X	21386033
2038-8330,2038-8322	2038-8322	26841985
2038-9566,2038-9558	2038-9566	27723624
2039-4365,2039-4357	2039-4365	50815167
2039-4403,2039-439X	2039-4403	27724478
2039-4446,2039-4438	2039-4446	50815166
2039-4713,2039-4705	2039-4713	50815165
2039-5094,2039-5086	2039-5086	26839658
2039-7283,2039-7275	2039-7275	26842401
2040-1124,2040-1116	2040-1116	26841813
2408-9354,2040-2244	2040-2244	15817178
2040-2309,2040-2295	2040-2295	15816371
2040-6215,2040-6207	2040-6207	26842172
2040-6231,2040-6223	2040-6223	26842871
2041-2647,2041-2649	2041-2649	26841935
2041-3874,2041-3866	2041-3866	24040425
2041-420X,2041-4196	2041-4196	15816365
2041-6008,2041-5990	2041-5990	26842827
2042-003X,2090-8091	2090-8091	26853836
2042-0048,2090-8113	2090-8113	26841958
2042-0064,2090-8059	2090-8059	26841978
2042-0072,2090-8067	2090-8067	26842425
2042-0099,2090-8040	2090-8040	26854008
2042-0196,2042-0188	2042-0188	26853790
2042-0994,2042-0986	2042-0986	26853818
2042-3497,2042-3489	2042-3489	22110019
2042-6313,2042-6305	2042-6305	22080407
2042-6453,2042-6445	2042-6445	6054297
2042-6860,2042-6852	2042-6852	5428929
2043-6262,2043-6254	2043-6262	50815162
2043-8354,2043-8346	2043-8354	25103996
2408-9362,2043-9083	2043-9083	27725005
2044-2521,2044-2513	2044-2513	4806676
2047-2870,2044-4095	2047-2870	50815273
2044-5229,2044-5210	2044-5210	26867047
2045-0915,2045-0907	2045-0907	26842350
2045-1261,2045-1253	2045-1253	26842244
2045-4368,2045-435X	2045-435X	27020374
2045-4538,2045-452X	2045-452X	26853990
2046-2174,2046-2166	2046-2166	26841880
2046-7443,2046-7435	2046-7435	16354584
2046-8962,2046-8954	2046-8954	26867046
2046-9055,2046-9047	2046-9047	26867049
2047-2412,2047-2404	2047-2404	26842085
2047-2986,2047-2978	2047-2978	26853824
2047-9964,2047-9956	2047-9956	20181626
2048-7207,2048-7193	2048-7193	26842020
2048-8734,2048-8726	2048-8726	26853800
2049-1123,2233-8659	2233-8659	22031487
2049-4408,2049-4394	2049-4394	20181180
2049-5331,2049-5323	2049-5323	22080532
2049-937X,2049-9361	2049-9361	26842293
2049-9442,2049-9434	2049-9434	26853995
2050-1692,2050-1684	2050-1684	27724726
2050-4330,2050-4322	2050-4330	50815268
2050-4357,2050-4349	2050-4357	50815267
2050-4373,2050-4365	2050-4373	50815266
2050-439X,2050-4381	2050-439X	50815265
2050-6414,2050-6406	2050-6406	26842468
2050-7518,2050-750X	2050-750X	18712374
2050-7895,2050-7887	2050-7887	23933859
2050-9936,2050-9928	2050-9928	21386082
2051-0144,2051-0136	2051-0136	26842222
2051-6355,2051-6347	2051-6347	22079924
2051-6789,2051-6770	2051-6770	22906742
2052-1553,2052-1545	2052-1553	27725440
2053-3370,2053-3691	2053-3691	27725375
2054-9326,2054-9318	2054-9318	23073974
2055-0278,2055-026X	2055-0278	27726299
2055-0332,2055-0324	2055-0332	50815228
2055-0464,2055-0456	2055-0464	27726949
2055-0758,2055-074X	2055-0758	50815226
2055-561X,2055-5601	2055-561X	18394042
2055-642X,2055-8074	2055-642X	27726599
2056-2802,2056-2799	2056-2802	27726986
