title	publisher	1	2
Journal of the Society of Naval Architects of Japan	Japan Society of Naval Architects and Ocean Engineers	1884-2070	0514-8499
Journal of the Ceramic Association Japan	Ceramic Society of Japan	1884-2127	0009-0255
Sen i Gakkaishi	Society of Fiber Science & Technology Japan	1884-2259	0037-9875
Sen-ito Kogyo	Society of Fiber Science & Technology Japan	1884-2275	
Sen-iso Kogyo	Society of Fiber Science & Technology Japan	1884-2283	
Blood & Vessel	The Japanese Society on Thrombosis and Hemostasis	1884-2372	0386-9717
Japanese Journal of Electrocardiology	The Japanes Society of Electrocardiology	1884-2437	0285-1660
Journal of Japan Society of Sports Industry	Japan Society of Sports Industry	1884-2534	1343-0688
Nihon EC Kenkyuusha Taikai	The European Union Studies Association - Japan	1884-2712	
EC studies in Japan	The European Union Studies Association - Japan	1884-2720	0913-0055
EU Studies in Japan	The European Union Studies Association - Japan	1884-2739	1884-3123
Japanese Sociological Review	The Japan Sociological Society	1884-2755	0021-5414
The Japanese Medical Journal	Editorial Committee of Japanese Journal of Infectious Diseases, National Institute of Infectious Diseases	1884-281X	
The Dental Journal of Nihon University	Nihon University School of Dentistry	1884-2976	
Journal of the Japan Institute of Power Electronics	The Japan Institute of Power Electronics	1884-3239	1348-8538
AUDIOLOGY	Japan Audiological Society	1884-331X	
Neurosonology	The Japan Academy of Neurosonology	1884-3336	0917-074X
Journal of Japan Veterinary Cancer Society	Japan Veterinary Cancer Society	1884-3352	1884-3344
Genba Panfuretto	The Surface Finishing Society of Japan	1884-3379	0368-5527
Journal of the Metal Finishing Society of Japan	The Surface Finishing Society of Japan	1884-3395	0026-0614
Journal of The Surface Finishing Society of Japan	The Surface Finishing Society of Japan	1884-3409	0915-1869
Jitsumu Hyomen Gijutsu	The Surface Finishing Society of Japan	1884-3417	0368-2358
VIRUS	The Japanese Association for Virology	1884-3425	
Japan Journal of Human Growth and Development Research	Japan Society of Human Growth and Development	1884-359X	1340-8682
FOOD IRRADIATION JAPAN	Japanese Research Association for Food Irradiation	1884-3611	0387-1975
JOURNAL OF JAPANESE ASSOCIATION OF CERTIFIED ORTHOPTIST	Japan Society of Engineering Geology	1884-362X	0385-5341
The Japan Journal of Logopedics and Phoniatrics	The Japan Society of Logopedics and Phoniatrics	1884-3646	0030-2813
The Japanese Association of The Revegetaion Technology	The Japanese Society of Revegetation Technology	1884-3662	0386-5223
Journal of the Japanese Society of Revegetation Technology	The Japanese Society of Revegetation Technology	1884-3670	0916-7439
Proceedings of geosynthetics symposium	Japan Chapter of International Geosynthetics Society	1884-3719	1344-3496
Animal blood-group research information	Japanese Society of Animal Breeding and Genetics	1884-3859	
The Annuals of Japanese Political Science Association	Japanese Political Science Association	1884-3921	0549-4192
Journal of the Japan society of photogrammetry	Japan Society of Photogrammetry and Remote Sensing	1884-3980	0549-4451
Ensho	The Japanese Society of Inflammation and Regeneration	1884-4006	0389-4290
NPG Asia Materials	Springer Nature	1884-4049	
Japanese journal of AMHTS	Japan Society of Health Evaluation and Promiotion	1884-4081	0386-135X
Japanese journal of MHTS	Japan Society of Health Evaluation and Promiotion	1884-409X	0911-1840
Health Evaluation and Promotion	Japan Society of Health Evaluation and Promiotion	1884-4103	1347-0086
Journal of Society of Cosmetic Chemists of Japan	Society of Cosmetic Chemists of Japan	1884-4146	0387-5253
Proceedings of The Japanese Association of Animal Models for Human Diseases	Japanese Association for Laboratory Animal Science	1884-4189	0911-2057
Proceedings of The Japanese Society of Animal Models for Human Diseases	Japanese Association for Laboratory Animal Science	1884-4197	0918-8991
KOKUSAI KEIZAI	The Japan Society of International Economics	1884-4359	0387-3943
The International Economy	The Japan Society of International Economics	1884-4367	2186-6074
Japanese Journal of Equine Science	Japan Society of Equine Science	1884-443X	0917-1967
Jibi inkoka kyoto rinsho	The Society of Practical Otolaryngology	1884-4537	
Journal of the Philosophy of Sport and Physical Education	Japan Society for the Philosophy of Sport and Physical Education	1884-4553	0915-5104
Journal of the Japanese Technical Association of the Pulp and Paper Industry	Japan Technical Association of the Pulp and Paper Industry	1884-4731	
JOURNAL OF JAPAN SOCIETY FOR HEAD AND NECK SURGERY	Japan Society for Head and Neck Surgery	1884-474X	1349-581X
The Annals of Japan Association for Urban Sociology	Japan Association for Urban Sociology	1884-4839	1341-4585
Journal of the Technological Society of Starch	The Japanese Society of Applied Glycoscience	1884-4871	0416-9662
Journal of the Japanese Society of Starch Science	The Japanese Society of Applied Glycoscience	1884-488X	0021-5406
Proceedings of the Japan Society of Civil Engineers	Japan Society of Civil Engineers	1884-4936	0385-5392
Transactions of the Japan Society of Civil Engineers	Japan Society of Civil Engineers	1884-4944	0047-1798
Doboku-Gakkai-si	Japan Society of Civil Engineers	1884-4952	0021-468X
Journal of Japanese Society of Oral Oncology	Japan Society for Oral Tumors	1884-4995	0915-5988
The Japanese Journal of Jaw Deformities	Japanese Society of Jaw Deformities	1884-5045	0916-7048
Japanese Journal of Sport Education Studies	Japanese Society of Sport Education	1884-5096	0911-8845
Journal of Food System Research	The Food System Research Association of Japan	1884-5118	1341-0296
KANSEI Engineering International	Japan  Society of Kansei Engineering	1884-5231	1345-1928
Journal of Japan Society of Kansei Engineering	Japan  Society of Kansei Engineering	1884-524X	1346-1958
Transactions of Japan Society of Kansei Engineering	Japan  Society of Kansei Engineering	1884-5258	1884-0833
Journal of Asian Culture Society International	Asian Culture Society International	1884-5290	1340-5411
Russian and East European Studies	Japanese Association for Russian and East European Studies	1884-5347	1348-6497
Japanese journal of extra-corporeal technology	The Japanese Society of Extra-Corporeal Techology in Medicine	1884-5452	0912-2664
TANSO	The Carbon Society of Japan	1884-5495	0371-5345
Stress Science Research	Public Health Research Foundation	1884-5525	1341-9986
X-RAYS	The Crystallographic Society of Japan	1884-5568	
Nihon Kessho Gakkaishi	The Crystallographic Society of Japan	1884-5576	0369-4585
VETERINARY SCIENCE AND STATISTICAL METHODS	The Japan Society of Veterinary Epidemiology	1884-5606	
JAPAN JOURNAL OF VETERINARY INFORMATICS	The Japan Society of Veterinary Epidemiology	1884-5614	0912-8913
Igaku Toshokan	Japan Medical Library Association	1884-5622	0445-2429
Studien zu Hegels Philosophie	Japanische Hegel-Gesellschaft	1884-5649	1342-3703
JAPANESE JOURNAL OF GYNECOLOGIC AND OBSTETRIC ENDOSCOPY	Japan Society of Gynecologic and Obstetric Endoscopy and Minimally Invasive Therapy	1884-5746	1884-9938
Journal of Japan Society of Computer Aided Surgery	The Japan Society of Computer Aided Sugery	1884-5770	1344-9486
Journal of Life Support Technology	The Society of Life Support Technology	1884-5819	0912-1595
Journal of Life Support Engineering	The Society of Life Support Technology	1884-5827	1341-9455
Bulletin of the Japan Institute of Metals	The Japan Institute of Metals	1884-5835	0021-4426
Materia Japan	The Japan Institute of Metals	1884-5843	1340-2625
Annals of the Japanese Association for Soviet and East European Studies	Japanese Association for Russian and East European Studies	1884-5851	0386-7226
Annals of tha Japanese Association for Russian and East European Studies	Japanese Association for Russian and East European Studies	1884-586X	2185-4645
CHUUGOKU GOGAKU	The Chinese Linguistic Society of Japan	1884-6033	
Journal of Graphic Science of Japan	Japan Society for Graphic Science	1884-6106	0387-5512
The Japanese Journal of Sarcoidosis and Other Granulomatous Disorders	Japan Society of Sarcoidosis and other Granulomatous Disorders	1884-6114	1883-1273
Journal of Japanese Society for Dialysis Therapy	Japanese Society for Dialysis Therapy	1884-6211	0911-5889
Journal of Japan Association for Earthquake Engineering	Japan Association for Earthquake Engineering	1884-6246	
hamon	The Japanese Society for Neutron Science	1884-636X	1349-046X
Japanese Journal of Administrative Science	The Japanese Association of Administrative Science	1884-6432	0914-5206
MEMBRANE	The Membrane Society of Japan	1884-6440	0385-1036
Journal of Japan Cosmetic Chemists Association	Society of Cosmetic Chemists of Japan	1884-6572	
Journal of the Society of Materials Engineering for Resources of Japan	The Society of Materials Engineering for Resources of Japan	1884-6610	0919-9853
International Journal of the Society of Materials Engineering for Resources	The Society of Materials Engineering for Resources of Japan	1884-6629	1347-9725
Bulletion of the International Association for Landscape Ecology-Japan	Japan Association for Landscape Ecology	1884-670X	1345-532X
Landscape Ecology and Management	Japan Association for Landscape Ecology	1884-6718	1880-0092
Transactions of the Magnetics Society of Japan	The Magnetics Society of Japan	1884-6726	1346-7948
Journal of the Spectroscopical Society of Japan	The Spectroscopical Society of Japan	1884-6785	0038-7002
TRENDS IN THE SCIENCES	Japan Science Support Foundation	1884-7080	1342-3363
Journal of the Robotics Society of Japan	The Robotics Society of Japan	1884-7145	0289-1824
Pan Africa News	Kyoto University Library	1884-751X	
Japanese Journal of Health Physics	Japan Health Physics Society	1884-7560	0367-6110
The Japanese Journal of Ryodoraku Medicine	The Japanese Society of Ryodoraku Medicine	1884-7595	0913-0977
The journal of the Anthropological Society of Tokyo	Anthropological Society of Nippon	1884-7641	
Study of Polarography	The Polargraphic Society of Japan	1884-7684	
Review of Polarography	The Polargraphic Society of Japan	1884-7692	0034-6691
Plant tissue culture letters	Japanese Society for Plant Cell and Molecular Biology	1884-7706	0289-5773
Journal of Japan Society of Civil Engineers Ser H (Engineering Education and Practice)	Japan Society of Civil Engineers	1884-7781	
THE JOURNAL OF ISLAND STUDIES	The Japan Society of Island Studies	1884-7838	1884-7013
Transactions of The Japan Institute of Electronics Packaging	Japan Institute of Electronics Packaging	1884-8028	1883-3365
The Journal of Asian Gnathology	The Academy of Clinical Dentistry	1884-8168	
JOURNAL OF PAVEMENT ENGINEERING JSCE	Japan Society of Civil Engineers	1884-8176	
The Journal of Japan Gnathology	The Academy of Clinical Dentistry	1884-8184	
PROCEEDINGS OF THE JAPANESE CONFERENCE ON COASTAL ENGINEERING	Japan Society of Civil Engineers	1884-8214	0285-7308
PROCEEDINGS OF COASTAL ENGINEERING JSCE	Japan Society of Civil Engineers	1884-8222	0916-7897
The Journal of Clinical Dentistry	The Academy of Clinical Dentistry	1884-8230	1346-8111
PROCEEDINGS OF CIVIL ENGINEERING IN THE OCEAN	Japan Society of Civil Engineers	1884-8265	0912-7348
INFRASTRUCTURE PLANNING REVIEW	Japan Society of Civil Engineers	1884-8303	0913-4034
Journal of Construction Management JSCE	Japan Society of Civil Engineers	1884-8311	
TRANSACTIONS OF THE JAPAN SOCIETY OF MECHANICAL ENGINEERS Series A	The Japan Society of Mechanical Engineers	1884-8338	0387-5008
TRANSACTIONS OF THE JAPAN SOCIETY OF MECHANICAL ENGINEERS Series C	The Japan Society of Mechanical Engineers	1884-8354	0387-5024
Proceedings of the Symposium on Global Environment	Japan Society of Civil Engineers	1884-8419	
PROCEEDINGS OF THE JSCE EARTHQUAKE ENGINEERING SYMPOSIUM	Japan Society of Civil Engineers	1884-8427	0913-4085
Journal of the Japan Society for Composite Materials	The Japan Society for Composite Materials	1884-8559	0385-2563
NIHON HEIKATSUKINGAKKAIZASSI	Japan Society of Smooth Muscle Research	1884-8761	1884-507X
Journal of smooth muscle research Japanese section	Japan Society of Smooth Muscle Research	1884-877X	1342-8152
Clinical Neuropsychopharmacology and Therapeutics	The Japanese Society of Clinical Neuropsychopharmacology	1884-8826	
JOURNAL OF APPLIED COMPUTING IN CIVIL ENGINEERING	Japan Society of Civil Engineers	1884-913X	1349-1040
PROCEEDINGS OF THE JAPANESE CONFERENCE ON HYDRAULICS	Japan Society of Civil Engineers	1884-9164	0913-4131
PROCEEDINGS OF HYDRAULIC ENGINEERING	Japan Society of Civil Engineers	1884-9172	0916-7374
The Japanese Journal of Ryodoraku Autonomic Nervous System	The Japanese Society of Ryodoraku Medicine	1884-9237	0557-5729
RYODORAKU	The Japanese Society of Ryodoraku Medicine	1884-9245	0913-0942
The Ryodoraku	The Japanese Society of Ryodoraku Medicine	1884-9253	0286-1631
Letters on Evolutionary Behavioral Science	Human Behavior and Evolution Society of Japan	1884-927X	
Radiation Safety Management	Japanese Society of Radiation Safety Management	1884-9520	1347-1511
Kakuyūgō kenkyū	Japan Society of Plasma Science and Nuclear Fusion Research	1884-9571	0451-2375
The Proceedings of the Circle of Television Engineers	The Institute of Image Information and Television Engineers	1884-9598	
The Proceedings of the Institute of Television Engineers	The Institute of Image Information and Television Engineers	1884-961X	
The Institute of Image Information and Televistion Engineers	The Institute of Image Information and Television Engineers	1884-9636	
The Journal of the Institute of Television Engineers of Japan	The Institute of Image Information and Television Engineers	1884-9644	0386-6831
SICE Journal of Control Measurement and System Integration	The Society of Instrument and Control Engineers	1884-9970	1882-4889
Investigaciones Fenomenológicas	UNED - Universidad Nacional de Educacion a Distancia	1885-1088	1137-2400
Anuario de Acción Humanitaria y Derechos Humanos	University of Deusto	1885-298X	
Revista Internacional de Culturas y Literaturas	Editorial Universidad de Sevilla	1885-3625	
Revista de la Escuela de Medicina Legal	Universidad Complutense de Madrid	1885-9577	1887-3278
